Element_1,Element_2,Element_3,Element_4,Element_5,Ratio_1,Ratio_2,Ratio_3,Ratio_4,Ratio_5,radius_1,radius_2,radius_3,radius_4,radius_5,radius_6,radius_7,radius_8,radius_9,radius_10,radius_11,radius_12,electronAffinity_1,electronAffinity_2,electronAffinity_3,electronAffinity_4,electronAffinity_5,electronAffinity_6,electronAffinity_7,electronAffinity_8,electronAffinity_9,electronAffinity_10,electronAffinity_11,electronAffinity_12,oxidationstate_1,oxidationstate_2,oxidationstate_3,oxidationstate_4,oxidationstate_5,oxidationstate_6,oxidationstate_7,oxidationstate_8,oxidationstate_9,oxidationstate_10,oxidationstate_11,oxidationstate_12,meltingpointSS_1,meltingpointSS_2,meltingpointSS_3,meltingpointSS_4,meltingpointSS_5,meltingpointSS_6,meltingpointSS_7,meltingpointSS_8,meltingpointSS_9,meltingpointSS_10,meltingpointSS_11,meltingpointSS_12,boilingpointSS_1,boilingpointSS_2,boilingpointSS_3,boilingpointSS_4,boilingpointSS_5,boilingpointSS_6,boilingpointSS_7,boilingpointSS_8,boilingpointSS_9,boilingpointSS_10,boilingpointSS_11,boilingpointSS_12,atomicMass_1,atomicMass_2,atomicMass_3,atomicMass_4,atomicMass_5,atomicMass_6,atomicMass_7,atomicMass_8,atomicMass_9,atomicMass_10,atomicMass_11,atomicMass_12,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,ionizationEnergy_1,ionizationEnergy_2,ionizationEnergy_3,ionizationEnergy_4,ionizationEnergy_5,ionizationEnergy_6,ionizationEnergy_7,ionizationEnergy_8,ionizationEnergy_9,ionizationEnergy_10,ionizationEnergy_11,ionizationEnergy_12,electronnegativity_1,electronnegativity_2,electronnegativity_3,electronnegativity_4,electronnegativity_5,electronnegativity_6,electronnegativity_7,electronnegativity_8,electronnegativity_9,electronnegativity_10,electronnegativity_11,electronnegativity_12,meltingpointO_1,meltingpointO_2,meltingpointO_3,meltingpointO_4,meltingpointO_5,meltingpointO_6,meltingpointO_7,meltingpointO_8,meltingpointO_9,meltingpointO_10,meltingpointO_11,meltingpointO_12,chemicalPotential_1,chemicalPotential_2,chemicalPotential_3,chemicalPotential_4,chemicalPotential_5,chemicalPotential_6,chemicalPotential_7,chemicalPotential_8,chemicalPotential_9,chemicalPotential_10,chemicalPotential_11,chemicalPotential_12,ToleranceFactor,OctahedralFactor,MaterialDensity,delta,absToleranceFactor,Element_1_1,Element_1_2,Element_1_3,Element_4_1,Element_4_2,Element_4_3,Element_4_4,Element_4_5,Ehull,p-band center,EV,EH,d-band center,exp Ehull,exp p-band center,exp EV,exp EH,exp d-band center,a,b,c,alpha,beta,gamma,Volume,ShrinkageV,ShrinkageH,FreeVolume,International,SymmetryOperations,OverlappingArea,OverlappingCenter,SG_1,SG_2,SG_3,SG_4,SG_5,SG_6,SG_7,PG_1,PG_2,PG_3,PG_4,PG_5
Co,Co,Co,Nb,Zr,1,0,0,0.875,0.125,1.61,0.561875,0,0.085,1.61,0.476875,2.086875,2.865406007,3.376146789,0,0.151279199,0.040730758,-14,-63.9375,0,-7.9375,-14,-56,-70,0.218963832,0.25,0,0.124144673,0.113392857,2,3.1875,0,0.5625,2,2.625,4.625,0.62745098,0.761904762,0,0.176470588,0.121621622,1000,1851.875,0,304.875,1000,1547,2547,0.53999325,0.646412411,0,0.164630442,0.119699647,2143,3406.1875,0,606.1875,2143,2800,4943,0.629149159,0.765357143,0,0.177966568,0.122635545,137.327,63.07469875,0,11.50814875,137.327,51.56655,188.89355,2.177212142,2.663102341,0,0.182452695,0.06092399,3.51,8.7300625,0,0.9425625,3.51,7.7875,11.2975,0.402058977,0.450722311,0,0.10796744,0.083431069,503,745.75,0,80.75,503,665,1168,0.67448877,0.756390977,0,0.108280255,0.069135274,0.89,1.828125,0,0.183125,0.89,1.645,2.535,0.486837607,0.541033435,0,0.10017094,0.072238659,1920,1841.25,0,261.875,1920,1579.375,3499.375,1.042769857,1.215670756,0,0.142226748,0.074834792,-468.011,-273.0281875,0,-105.6949375,-468.011,-167.33325,-635.34425,1.71414902,2.796879879,0,0.387120973,0.166358533,1.084876157,0.401339286,261.1671934,0.40625,0.084876157,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co,Nb,Nb,Zr,Zr,1,0,0,0.75,0.25,1.61,0.57875,0,0.17,1.61,0.40875,2.01875,2.781857451,3.93883792,0,0.293736501,0.084210526,-14,-63.875,0,-15.875,-14,-48,-62,0.219178082,0.291666667,0,0.24853229,0.256048387,2,3.375,0,1.125,2,2.25,4.25,0.592592593,0.888888889,0,0.333333333,0.264705882,1000,1935.75,0,609.75,1000,1326,2326,0.516595635,0.754147813,0,0.314994188,0.262145314,2143,3612.375,0,1212.375,2143,2400,4543,0.59323852,0.892916667,0,0.335617149,0.266866608,137.327,67.2161975,0,23.0162975,137.327,44.1999,181.5269,2.043064099,3.106952731,0,0.342421892,0.126792765,3.51,8.560125,0,1.885125,3.51,6.675,10.185,0.410040741,0.525842697,0,0.220221667,0.185088365,503,731.5,0,161.5,503,570,1073,0.687628161,0.88245614,0,0.220779221,0.150512582,0.89,1.77625,0,0.36625,0.89,1.41,2.3,0.501055595,0.631205674,0,0.206192822,0.15923913,1920,1877.5,0,523.75,1920,1353.75,3273.75,1.022636485,1.418282548,0,0.278961385,0.159984727,-468.011,-354.818375,0,-211.389875,-468.011,-143.4285,-611.4395,1.31901568,3.263026525,0,0.595769244,0.345724925,1.075624213,0.413392857,261.6219265,0.3125,0.075624213,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nb,Nb,Zr,Zr,Zr,1,0,0,0.625,0.375,1.61,0.595625,0,0.255,1.61,0.340625,1.950625,2.703043022,4.726605505,0,0.428121721,0.130727331,-14,-63.8125,0,-23.8125,-14,-40,-54,0.219392752,0.35,0,0.373163565,0.440972222,2,3.5625,0,1.6875,2,1.875,3.875,0.561403509,1.066666667,0,0.473684211,0.435483871,1000,2019.625,0,914.625,1000,1105,2105,0.495141425,0.904977376,0,0.452868726,0.434501188,2143,3818.5625,0,1818.5625,2143,2000,4143,0.561205951,1.0715,0,0.476242696,0.438948226,137.327,71.35769625,0,34.52444625,137.327,36.83325,174.16025,1.924487578,3.728343277,0,0.483822321,0.198233789,3.51,8.3901875,0,2.8276875,3.51,5.5625,9.0725,0.418345836,0.631011236,0,0.337023159,0.31167677,503,717.25,0,242.25,503,475,978,0.701289648,1.058947368,0,0.337748344,0.247699387,0.89,1.724375,0,0.549375,0.89,1.175,2.065,0.516129032,0.757446809,0,0.318593693,0.266041162,1920,1913.75,0,785.625,1920,1128.125,3048.125,1.003265839,1.701939058,0,0.410516003,0.257740414,-468.011,-436.6085625,0,-317.0848125,-468.011,-119.52375,-587.53475,1.071923549,3.91563183,0,0.726245062,0.539686908,1.066528737,0.425446429,262.1184155,0.21875,0.066528737,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co,W,W,Dy,Dy,1,0,0,0.75,0.25,1.61,0.59775,0,0.189,1.61,0.40875,2.01875,2.69343371,3.93883792,0,0.316185696,0.093622291,-14,-64.125,0,-16.125,-14,-48,-62,0.218323587,0.291666667,0,0.251461988,0.260080645,2,3.375,0,1.125,2,2.25,4.25,0.592592593,0.888888889,0,0.333333333,0.264705882,1000,1998.5,0,672.5,1000,1326,2326,0.500375281,0.754147813,0,0.336502377,0.289122958,2143,3483.5,0,1083.5,2143,2400,4543,0.615185876,0.892916667,0,0.311037749,0.238498789,137.327,87.4924,0,43.2925,137.327,44.1999,181.5269,1.569587758,3.106952731,0,0.494814407,0.238490824,3.51,10.150125,0,3.475125,3.51,6.675,10.185,0.345808549,0.525842697,0,0.342372631,0.341200295,503,737.875,0,167.875,503,570,1073,0.681687278,0.88245614,0,0.227511435,0.156453868,0.89,1.8575,0,0.4475,0.89,1.41,2.3,0.479138627,0.631205674,0,0.240915209,0.194565217,1920,1835.25,0,481.5,1920,1353.75,3273.75,1.046178995,1.418282548,0,0.262362076,0.147079038,-468.011,-320.708125,0,-177.279625,-468.011,-143.4285,-611.4395,1.459305092,3.263026525,0,0.552775596,0.28993813,1.065394274,0.426964286,278.099145,0.3125,0.065394274,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co,Nb,Nb,Sc,Sc,1,0,0,0.75,0.25,1.61,0.581875,0,0.173125,1.61,0.40875,2.01875,2.766917293,3.93883792,0,0.297529538,0.085758514,-14,-61,0,-13,-14,-48,-62,0.229508197,0.291666667,0,0.213114754,0.209677419,2,3.25,0,1,2,2.25,4.25,0.615384615,0.888888889,0,0.307692308,0.235294118,1000,1896.5,0,570.5,1000,1326,2326,0.527287108,0.754147813,0,0.300817295,0.245270851,2143,3415,0,1015,2143,2400,4543,0.627525622,0.892916667,0,0.297218155,0.223420647,137.327,61.43268625,0,17.23278625,137.327,44.1999,181.5269,2.235406074,3.106952731,0,0.280514939,0.094932411,3.51,8.119375,0,1.444375,3.51,6.675,10.185,0.432299284,0.525842697,0,0.177892387,0.141813942,503,730.625,0,160.625,503,570,1073,0.688451668,0.88245614,0,0.219846022,0.149697111,0.89,1.78,0,0.37,0.89,1.41,2.3,0.5,0.631205674,0,0.207865169,0.160869565,1920,1842.5,0,488.75,1920,1353.75,3273.75,1.042062415,1.418282548,0,0.265264586,0.149293624,-468.011,-341.28175,0,-197.85325,-468.011,-143.4285,-611.4395,1.371333217,3.263026525,0,0.579735805,0.32358598,1.07392818,0.415625,254.9430952,0.375,0.07392818,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co,Co,Co,Nb,Sc,1,0,0,0.875,0.125,1.61,0.5634375,0,0.0865625,1.61,0.476875,2.086875,2.857459789,3.376146789,0,0.153632834,0.041479485,-14,-62.5,0,-6.5,-14,-56,-70,0.224,0.25,0,0.104,0.092857143,2,3.125,0,0.5,2,2.625,4.625,0.64,0.761904762,0,0.16,0.108108108,1000,1832.25,0,285.25,1000,1547,2547,0.54577705,0.646412411,0,0.155682904,0.111994503,2143,3307.5,0,507.5,2143,2800,4943,0.647921391,0.765357143,0,0.153439153,0.102670443,137.327,60.18294313,0,8.616393125,137.327,51.56655,188.89355,2.281825927,2.663102341,0,0.143170019,0.045615073,3.51,8.5096875,0,0.7221875,3.51,7.7875,11.2975,0.412471081,0.450722311,0,0.084866512,0.063924541,503,745.3125,0,80.3125,503,665,1168,0.674884696,0.756390977,0,0.107756813,0.068760702,0.89,1.83,0,0.185,0.89,1.645,2.535,0.486338798,0.541033435,0,0.101092896,0.072978304,1920,1823.75,0,244.375,1920,1579.375,3499.375,1.052775874,1.215670756,0,0.133995888,0.069833899,-468.011,-266.259875,0,-98.926625,-468.011,-167.33325,-635.34425,1.757722601,2.796879879,0,0.371541619,0.155705549,1.084012815,0.402455357,257.7686454,0.4375,0.084012815,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co,Co,Co,Mo,Y,1,0,0,0.875,0.125,1.61,0.57,0,0.093125,1.61,0.476875,2.086875,2.824561404,3.376146789,0,0.163377193,0.044624139,-14,-62.375,0,-6.375,-14,-56,-70,0.224448898,0.25,0,0.102204409,0.091071429,2,3.1875,0,0.5625,2,2.625,4.625,0.62745098,0.761904762,0,0.176470588,0.121621622,1000,1840.4375,0,293.4375,1000,1547,2547,0.543349068,0.646412411,0,0.159438992,0.115209069,2143,3333.125,0,533.125,2143,2800,4943,0.642940184,0.765357143,0,0.159947497,0.107854542,137.327,63.12066563,0,11.55411563,137.327,51.56655,188.89355,2.175626614,2.663102341,0,0.183048064,0.061167338,3.51,8.7095,0,0.922,3.51,7.7875,11.2975,0.403008209,0.450722311,0,0.105861416,0.081610976,503,745.25,0,80.25,503,665,1168,0.674941295,0.756390977,0,0.107681986,0.068707192,0.89,1.85625,0,0.21125,0.89,1.645,2.535,0.479461279,0.541033435,0,0.113804714,0.083333333,1920,1798.375,0,219,1920,1579.375,3499.375,1.0676305,1.215670756,0,0.121776604,0.062582604,-468.011,-251.6051875,0,-84.2719375,-468.011,-167.33325,-635.34425,1.860100758,2.796879879,0,0.334937202,0.132639805,1.080401732,0.407142857,259.3471072,0.40625,0.080401732,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co,Mo,Mo,Y,Y,1,0,0,0.75,0.25,1.61,0.595,0,0.18625,1.61,0.40875,2.01875,2.705882353,3.93883792,0,0.31302521,0.092260062,-14,-60.75,0,-12.75,-14,-48,-62,0.230452675,0.291666667,0,0.209876543,0.205645161,2,3.375,0,1.125,2,2.25,4.25,0.592592593,0.888888889,0,0.333333333,0.264705882,1000,1912.875,0,586.875,1000,1326,2326,0.522773312,0.754147813,0,0.306802588,0.252310834,2143,3466.25,0,1066.25,2143,2400,4543,0.618247386,0.892916667,0,0.307609088,0.234701739,137.327,67.30813125,0,23.10823125,137.327,44.1999,181.5269,2.040273552,3.106952731,0,0.343320054,0.127299212,3.51,8.519,0,1.844,3.51,6.675,10.185,0.41202019,0.525842697,0,0.216457331,0.181050565,503,730.5,0,160.5,503,570,1073,0.688569473,0.88245614,0,0.219712526,0.149580615,0.89,1.8325,0,0.4225,0.89,1.41,2.3,0.485675307,0.631205674,0,0.230559345,0.183695652,1920,1791.75,0,438,1920,1353.75,3273.75,1.071578066,1.418282548,0,0.244453746,0.133791523,-468.011,-311.972375,0,-168.543875,-468.011,-143.4285,-611.4395,1.500168084,3.263026525,0,0.540252562,0.275650943,1.066862863,0.425,258.1185566,0.3125,0.066862863,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co,Sb,Sb,Y,Y,1,0,0,0.75,0.25,1.61,0.59625,0,0.1875,1.61,0.40875,2.01875,2.700209644,3.93883792,0,0.314465409,0.092879257,-14,-64.625,0,-16.625,-14,-48,-62,0.216634429,0.291666667,0,0.257253385,0.268145161,2,3.25,0,1,2,2.25,4.25,0.615384615,0.888888889,0,0.307692308,0.235294118,1000,1663.875,0,337.875,1000,1326,2326,0.601006686,0.754147813,0,0.203065134,0.145260103,2143,3084.75,0,684.75,2143,2400,4543,0.694707837,0.892916667,0,0.221979091,0.150726392,137.327,70.53313125,0,26.33323125,137.327,44.1999,181.5269,1.946985729,3.106952731,0,0.373345558,0.145065174,3.51,8.071125,0,1.396125,3.51,6.675,10.185,0.434883613,0.525842697,0,0.172977745,0.137076583,503,749.25,0,179.25,503,570,1073,0.671338005,0.88245614,0,0.239239239,0.167054986,0.89,1.81875,0,0.40875,0.89,1.41,2.3,0.489347079,0.631205674,0,0.224742268,0.177717391,1920,1773.75,0,420,1920,1353.75,3273.75,1.082452431,1.418282548,0,0.236786469,0.128293242,-468.011,-282.459625,0,-139.031125,-468.011,-143.4285,-611.4395,1.656912913,3.263026525,0,0.492215923,0.22738329,1.066194821,0.425892857,261.1394163,0.375,0.066194821,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co,Ho,Ho,W,W,1,0,0,0.75,0.25,1.61,0.596375,0,0.187625,1.61,0.40875,2.01875,2.699643681,3.93883792,0,0.314609097,0.092941176,-14,-64.125,0,-16.125,-14,-48,-62,0.218323587,0.291666667,0,0.251461988,0.260080645,2,3.375,0,1.125,2,2.25,4.25,0.592592593,0.888888889,0,0.333333333,0.264705882,1000,2006.25,0,680.25,1000,1326,2326,0.498442368,0.754147813,0,0.339065421,0.292454858,2143,3500.125,0,1100.125,2143,2400,4543,0.612263848,0.892916667,0,0.314310203,0.242158265,137.327,87.79619,0,43.59629,137.327,44.1999,181.5269,1.564156713,3.106952731,0,0.496562436,0.24016435,3.51,10.180625,0,3.505625,3.51,6.675,10.185,0.344772546,0.525842697,0,0.344342808,0.344194894,503,738.875,0,168.875,503,570,1073,0.680764676,0.88245614,0,0.228556928,0.157385834,0.89,1.85875,0,0.44875,0.89,1.41,2.3,0.478816409,0.631205674,0,0.241425689,0.195108696,1920,1839.625,0,485.875,1920,1353.75,3273.75,1.04369097,1.418282548,0,0.264116328,0.148415426,-468.011,-322.24575,0,-178.81725,-468.011,-143.4285,-611.4395,1.452341885,3.263026525,0,0.554909568,0.292452892,1.066128063,0.425982143,278.7295805,0.3125,0.066128063,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co,Dy,Dy,Nb,Nb,1,0,0,0.75,0.25,1.61,0.60275,0,0.194,1.61,0.40875,2.01875,2.671090834,3.93883792,0,0.32185815,0.096099071,-14,-65,0,-17,-14,-48,-62,0.215384615,0.291666667,0,0.261538462,0.274193548,2,3.25,0,1,2,2.25,4.25,0.615384615,0.888888889,0,0.307692308,0.235294118,1000,1880.375,0,554.375,1000,1326,2326,0.531808815,0.754147813,0,0.294821512,0.238338349,2143,3382.125,0,982.125,2143,2400,4543,0.63362531,0.892916667,0,0.290386961,0.216184239,137.327,76.1256975,0,31.9257975,137.327,44.1999,181.5269,1.80395063,3.106952731,0,0.41938266,0.175873645,3.51,8.815125,0,2.140125,3.51,6.675,10.185,0.398179266,0.525842697,0,0.242778747,0.210125184,503,723.125,0,153.125,503,570,1073,0.695592048,0.88245614,0,0.211754538,0.142707363,0.89,1.7625,0,0.3525,0.89,1.41,2.3,0.504964539,0.631205674,0,0.2,0.15326087,1920,1840,0,486.25,1920,1353.75,3273.75,1.043478261,1.418282548,0,0.264266304,0.148529973,-468.011,-338.329875,0,-194.901375,-468.011,-143.4285,-611.4395,1.383297883,3.263026525,0,0.576069066,0.318758234,1.062734446,0.430535714,265.4046878,0.375,0.062734446,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co,Sc,Sc,Nb,Nb,1,0,0,0.75,0.25,1.61,0.581875,0,0.173125,1.61,0.40875,2.01875,2.766917293,3.93883792,0,0.297529538,0.085758514,-14,-61,0,-13,-14,-48,-62,0.229508197,0.291666667,0,0.213114754,0.209677419,2,3.25,0,1,2,2.25,4.25,0.615384615,0.888888889,0,0.307692308,0.235294118,1000,1896.5,0,570.5,1000,1326,2326,0.527287108,0.754147813,0,0.300817295,0.245270851,2143,3415,0,1015,2143,2400,4543,0.627525622,0.892916667,0,0.297218155,0.223420647,137.327,61.43268625,0,17.23278625,137.327,44.1999,181.5269,2.235406074,3.106952731,0,0.280514939,0.094932411,3.51,8.119375,0,1.444375,3.51,6.675,10.185,0.432299284,0.525842697,0,0.177892387,0.141813942,503,730.625,0,160.625,503,570,1073,0.688451668,0.88245614,0,0.219846022,0.149697111,0.89,1.78,0,0.37,0.89,1.41,2.3,0.5,0.631205674,0,0.207865169,0.160869565,1920,1842.5,0,488.75,1920,1353.75,3273.75,1.042062415,1.418282548,0,0.265264586,0.149293624,-468.011,-341.28175,0,-197.85325,-468.011,-143.4285,-611.4395,1.371333217,3.263026525,0,0.579735805,0.32358598,1.07392818,0.415625,254.9430952,0.375,0.07392818,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co,Sc,Sc,Zr,Zr,1,0,0,0.75,0.25,1.61,0.591875,0,0.183125,1.61,0.40875,2.01875,2.720168955,3.93883792,0,0.309398099,0.090712074,-14,-55.375,0,-7.375,-14,-48,-62,0.25282167,0.291666667,0,0.133182844,0.118951613,2,3.125,0,0.875,2,2.25,4.25,0.64,0.888888889,0,0.28,0.205882353,1000,1818.75,0,492.75,1000,1326,2326,0.549828179,0.754147813,0,0.270927835,0.211844368,2143,3373.125,0,973.125,2143,2400,4543,0.635315916,0.892916667,0,0.288493608,0.21420317,137.327,61.22238875,0,17.02248875,137.327,44.1999,181.5269,2.243084643,3.106952731,0,0.278043525,0.093773919,3.51,7.862,0,1.187,3.51,6.675,10.185,0.446451285,0.525842697,0,0.150979395,0.116543937,503,729.125,0,159.125,503,570,1073,0.689867992,0.88245614,0,0.218241042,0.148299161,0.89,1.74625,0,0.33625,0.89,1.41,2.3,0.509663565,0.631205674,0,0.192555476,0.146195652,1920,1988.75,0,635,1920,1353.75,3273.75,0.965430547,1.418282548,0,0.31929604,0.193967163,-468.011,-363.191375,0,-219.762875,-468.011,-143.4285,-611.4395,1.288607143,3.263026525,0,0.605088364,0.359418839,1.068536636,0.422767857,252.5648003,0.4375,0.068536636,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co,Sb,Sb,Dy,Dy,1,0,0,0.75,0.25,1.61,0.59775,0,0.189,1.61,0.40875,2.01875,2.69343371,3.93883792,0,0.316185696,0.093622291,-14,-67.125,0,-19.125,-14,-48,-62,0.208566108,0.291666667,0,0.284916201,0.308467742,2,3.25,0,1,2,2.25,4.25,0.615384615,0.888888889,0,0.307692308,0.235294118,1000,1649.625,0,323.625,1000,1326,2326,0.606198378,0.754147813,0,0.19618095,0.139133706,2143,2987.5,0,587.5,2143,2400,4543,0.717322176,0.892916667,0,0.19665272,0.129319833,137.327,79.7324,0,35.5325,137.327,44.1999,181.5269,1.722348757,3.106952731,0,0.445646939,0.195742339,3.51,8.581,0,1.906,3.51,6.675,10.185,0.409043235,0.525842697,0,0.222118634,0.187137948,503,745.875,0,175.875,503,570,1073,0.674375733,0.88245614,0,0.235796883,0.163909599,0.89,1.81875,0,0.40875,0.89,1.41,2.3,0.489347079,0.631205674,0,0.224742268,0.177717391,1920,1733.25,0,379.5,1920,1353.75,3273.75,1.107745565,1.418282548,0,0.218952834,0.115922108,-468.011,-279.53275,0,-136.10425,-468.011,-143.4285,-611.4395,1.674261781,3.263026525,0,0.48689912,0.22259643,1.065394274,0.426964286,270.1889172,0.375,0.065394274,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
